"","sample","probe","value","type"
"164","TCGA-OR-A5LA-01","ImmuneScore.estimate",486.413619555227,"estimate"
"165","TCGA-OR-A5LA-01","ESTIMATEScore.estimate",351.091323623501,"estimate"
"166","TCGA-OR-A5LB-01","StromalScore.estimate",-1388.86485158202,"estimate"
"167","TCGA-OR-A5LB-01","ImmuneScore.estimate",-1324.4030230685,"estimate"
"168","TCGA-OR-A5LB-01","ESTIMATEScore.estimate",-2713.26787465051,"estimate"
"169","TCGA-OR-A5LC-01","StromalScore.estimate",-702.110083729939,"estimate"
"170","TCGA-OR-A5LC-01","ImmuneScore.estimate",-811.475634301909,"estimate"
"171","TCGA-OR-A5LC-01","ESTIMATEScore.estimate",-1513.58571803185,"estimate"
"172","TCGA-OR-A5LD-01","StromalScore.estimate",-1239.18017003815,"estimate"
"173","TCGA-OR-A5LD-01","ImmuneScore.estimate",-1282.27593565636,"estimate"
"174","TCGA-OR-A5LD-01","ESTIMATEScore.estimate",-2521.45610569451,"estimate"
"175","TCGA-OR-A5LE-01","StromalScore.estimate",-1738.27899720317,"estimate"
"176","TCGA-OR-A5LE-01","ImmuneScore.estimate",-1433.06497272013,"estimate"
"177","TCGA-OR-A5LE-01","ESTIMATEScore.estimate",-3171.3439699233,"estimate"
"178","TCGA-OR-A5LG-01","StromalScore.estimate",-649.076081180894,"estimate"
"179","TCGA-OR-A5LG-01","ImmuneScore.estimate",-213.587722994262,"estimate"
"180","TCGA-OR-A5LG-01","ESTIMATEScore.estimate",-862.663804175156,"estimate"
"181","TCGA-OR-A5LH-01","StromalScore.estimate",-1222.50816484508,"estimate"
"182","TCGA-OR-A5LH-01","ImmuneScore.estimate",-389.88206222309,"estimate"
"183","TCGA-OR-A5LH-01","ESTIMATEScore.estimate",-1612.39022706817,"estimate"
"184","TCGA-OR-A5LJ-01","StromalScore.estimate",-1417.77487408424,"estimate"
"185","TCGA-OR-A5LJ-01","ImmuneScore.estimate",-630.401884625672,"estimate"
"186","TCGA-OR-A5LJ-01","ESTIMATEScore.estimate",-2048.17675870991,"estimate"
"187","TCGA-OR-A5LK-01","StromalScore.estimate",-326.150201090431,"estimate"
"188","TCGA-OR-A5LK-01","ImmuneScore.estimate",1165.08162652721,"estimate"
"189","TCGA-OR-A5LK-01","ESTIMATEScore.estimate",838.931425436781,"estimate"
"190","TCGA-OR-A5LL-01","StromalScore.estimate",-1067.31055830747,"estimate"
"191","TCGA-OR-A5LL-01","ImmuneScore.estimate",-811.697177498619,"estimate"
"192","TCGA-OR-A5LL-01","ESTIMATEScore.estimate",-1879.00773580608,"estimate"
"193","TCGA-OR-A5LM-01","StromalScore.estimate",-1295.3951790115,"estimate"
"194","TCGA-OR-A5LM-01","ImmuneScore.estimate",-739.884598971435,"estimate"
"195","TCGA-OR-A5LM-01","ESTIMATEScore.estimate",-2035.27977798294,"estimate"
"196","TCGA-OR-A5LN-01","StromalScore.estimate",-712.910674857055,"estimate"
"197","TCGA-OR-A5LN-01","ImmuneScore.estimate",613.047167883183,"estimate"
"198","TCGA-OR-A5LN-01","ESTIMATEScore.estimate",-99.8635069738729,"estimate"
"199","TCGA-OR-A5LO-01","StromalScore.estimate",-1485.65901827402,"estimate"
"200","TCGA-OR-A5LO-01","ImmuneScore.estimate",-1618.57258549198,"estimate"
"201","TCGA-OR-A5LO-01","ESTIMATEScore.estimate",-3104.231603766,"estimate"
"202","TCGA-OR-A5LP-01","StromalScore.estimate",80.1024793129495,"estimate"
"203","TCGA-OR-A5LP-01","ImmuneScore.estimate",47.31312799138,"estimate"
"204","TCGA-OR-A5LP-01","ESTIMATEScore.estimate",127.41560730433,"estimate"
"205","TCGA-OR-A5LR-01","StromalScore.estimate",-679.921246236156,"estimate"
"206","TCGA-OR-A5LR-01","ImmuneScore.estimate",-406.681795699144,"estimate"
"207","TCGA-OR-A5LR-01","ESTIMATEScore.estimate",-1086.6030419353,"estimate"
"208","TCGA-OR-A5LS-01","StromalScore.estimate",-1419.46188803423,"estimate"
"209","TCGA-OR-A5LS-01","ImmuneScore.estimate",-1249.07181597715,"estimate"
"210","TCGA-OR-A5LS-01","ESTIMATEScore.estimate",-2668.53370401138,"estimate"
"211","TCGA-OR-A5LT-01","StromalScore.estimate",-1333.76008352028,"estimate"
"212","TCGA-OR-A5LT-01","ImmuneScore.estimate",-981.604077962809,"estimate"
"213","TCGA-OR-A5LT-01","ESTIMATEScore.estimate",-2315.36416148309,"estimate"
"214","TCGA-OU-A5PI-01","StromalScore.estimate",-733.954949687054,"estimate"
"215","TCGA-OU-A5PI-01","ImmuneScore.estimate",-1086.21272973295,"estimate"
"216","TCGA-OU-A5PI-01","ESTIMATEScore.estimate",-1820.16767942001,"estimate"
